level,story,anchor_local,anchor_global,anchor_causal,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
IIR0,cat,0.708,0.917,1.0,0.458,0.875,0.708,0.833,,,,,,,,
IIR0,lying,1.0,0.958,0.958,,,,,0.833,1.0,1.0,0.917,,,,
IIR0,stealing,1.0,0.5,1.0,,,,,,,,,0.958,1.0,0.5,0.417
IIR1,cat,1.0,0.958,1.0,0.167,1.0,0.792,0.958,,,,,,,,
IIR1,lying,1.0,1.0,1.0,,,,,0.208,1.0,1.0,1.0,,,,
IIR1,stealing,1.0,1.0,1.0,,,,,,,,,1.0,1.0,0.792,0.708
IIR2,cat,0.958,1.0,1.0,0.708,1.0,0.917,0.958,,,,,,,,
IIR2,lying,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,
IIR2,stealing,1.0,1.0,1.0,,,,,,,,,1.0,1.0,0.917,1.0
IIR3,cat,1.0,1.0,1.0,0.917,1.0,0.958,1.0,,,,,,,,
IIR3,lying,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,
IIR3,stealing,1.0,1.0,1.0,,,,,,,,,1.0,1.0,0.875,1.0
