level,story,question,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,q1,0.35,0.6,0.508,0.406,0.476,,0.476
WAYPOINT0,cat,q2,0.175,0.45,0.425,0.375,0.361,,0.361
WAYPOINT0,cat,q3,0.25,0.4,0.383,0.375,0.353,,0.353
WAYPOINT0,cat,q4,0.25,0.525,0.475,0.344,0.412,,0.412
WAYPOINT0,lying,q1,0.375,0.275,0.25,0.656,0.348,,0.348
WAYPOINT0,lying,q2,0.375,0.475,0.3,0.469,0.388,,0.388
WAYPOINT0,lying,q3,0.45,0.425,0.392,0.688,0.459,,0.459
WAYPOINT0,lying,q4,0.475,0.55,0.375,0.625,0.481,,0.481
WAYPOINT0,stealing,q1,0.375,0.375,0.383,0.531,0.401,,0.401
WAYPOINT0,stealing,q2,0.2,0.125,0.169,0.406,0.201,,0.201
WAYPOINT0,stealing,q3,0.3,0.281,0.296,0.438,0.314,,0.314
WAYPOINT0,stealing,q4,0.225,0.219,0.219,0.469,0.258,,0.258
WAYPOINT1,cat,q1,0.5,0.625,0.65,0.562,0.593,,0.593
WAYPOINT1,cat,q2,0.45,0.525,0.533,0.625,0.524,,0.524
WAYPOINT1,cat,q3,0.6,0.2,0.458,0.625,0.454,,0.454
WAYPOINT1,cat,q4,0.675,0.525,0.642,0.406,0.586,,0.586
WAYPOINT1,lying,q1,0.6,0.35,0.492,0.5,0.485,,0.485
WAYPOINT1,lying,q2,0.675,0.65,0.492,0.656,0.602,,0.602
WAYPOINT1,lying,q3,0.525,0.375,0.35,0.656,0.446,,0.446
WAYPOINT1,lying,q4,0.475,0.575,0.425,0.625,0.505,,0.505
WAYPOINT1,stealing,q1,0.45,0.594,0.602,0.688,0.575,,0.575
WAYPOINT1,stealing,q2,0.45,0.531,0.415,0.531,0.47,,0.47
WAYPOINT1,stealing,q3,0.325,0.625,0.575,0.625,0.532,,0.532
WAYPOINT1,stealing,q4,0.625,0.531,0.66,0.5,0.595,,0.595
WAYPOINT2,cat,q1,0.425,0.55,0.442,0.656,0.497,,0.497
WAYPOINT2,cat,q2,0.525,0.675,0.65,0.688,0.631,,0.631
WAYPOINT2,cat,q3,0.2,0.65,0.525,0.656,0.495,,0.495
WAYPOINT2,cat,q4,0.35,0.775,0.733,0.688,0.641,,0.641
WAYPOINT2,lying,q1,0.35,0.675,0.4,0.906,0.532,,0.532
WAYPOINT2,lying,q2,0.425,0.625,0.467,0.906,0.562,,0.562
WAYPOINT2,lying,q3,0.375,0.6,0.45,0.594,0.49,,0.49
WAYPOINT2,lying,q4,0.6,0.8,0.55,0.969,0.688,,0.688
WAYPOINT2,stealing,q1,0.225,0.688,0.652,0.531,0.536,,0.536
WAYPOINT2,stealing,q2,0.225,0.625,0.583,0.812,0.539,,0.539
WAYPOINT2,stealing,q3,0.05,0.562,0.469,0.438,0.383,,0.383
WAYPOINT2,stealing,q4,0.125,0.688,0.646,0.625,0.523,,0.523
WAYPOINT3,cat,q1,0.55,0.8,0.775,0.625,0.702,,0.702
WAYPOINT3,cat,q2,0.675,0.725,0.725,0.781,0.721,,0.721
WAYPOINT3,cat,q3,0.425,0.825,0.717,0.781,0.681,,0.681
WAYPOINT3,cat,q4,0.675,0.925,0.858,0.781,0.818,,0.818
WAYPOINT3,lying,q1,0.65,0.525,0.458,0.812,0.576,,0.576
WAYPOINT3,lying,q2,0.65,0.875,0.717,0.969,0.777,,0.777
WAYPOINT3,lying,q3,0.525,0.7,0.65,0.875,0.665,,0.665
WAYPOINT3,lying,q4,0.675,0.925,0.85,0.938,0.838,,0.838
WAYPOINT3,stealing,q1,0.675,0.656,0.731,0.719,0.697,,0.697
WAYPOINT3,stealing,q2,0.575,0.781,0.744,0.75,0.712,,0.712
WAYPOINT3,stealing,q3,0.075,0.688,0.615,0.594,0.495,,0.495
WAYPOINT3,stealing,q4,0.55,0.938,0.833,0.781,0.781,,0.781
