level,story,question_type,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,inference,0.3,0.5,0.446,0.391,0.415,,0.415
WAYPOINT0,cat,metacognitive,0.213,0.488,0.45,0.359,0.386,,0.386
WAYPOINT0,lying,inference,0.413,0.35,0.321,0.672,0.404,,0.404
WAYPOINT0,lying,metacognitive,0.425,0.512,0.337,0.547,0.435,,0.435
WAYPOINT0,stealing,inference,0.338,0.328,0.34,0.484,0.358,,0.358
WAYPOINT0,stealing,metacognitive,0.213,0.172,0.194,0.438,0.23,,0.23
WAYPOINT1,cat,inference,0.55,0.413,0.554,0.594,0.524,,0.524
WAYPOINT1,cat,metacognitive,0.562,0.525,0.588,0.516,0.555,,0.555
WAYPOINT1,lying,inference,0.562,0.362,0.421,0.578,0.465,,0.465
WAYPOINT1,lying,metacognitive,0.575,0.612,0.458,0.641,0.553,,0.553
WAYPOINT1,stealing,inference,0.388,0.609,0.589,0.656,0.554,,0.554
WAYPOINT1,stealing,metacognitive,0.538,0.531,0.538,0.516,0.533,,0.533
WAYPOINT2,cat,inference,0.312,0.6,0.483,0.656,0.496,,0.496
WAYPOINT2,cat,metacognitive,0.438,0.725,0.692,0.688,0.636,,0.636
WAYPOINT2,lying,inference,0.362,0.638,0.425,0.75,0.511,,0.511
WAYPOINT2,lying,metacognitive,0.512,0.712,0.508,0.938,0.625,,0.625
WAYPOINT2,stealing,inference,0.138,0.625,0.56,0.484,0.459,,0.459
WAYPOINT2,stealing,metacognitive,0.175,0.656,0.615,0.719,0.531,,0.531
WAYPOINT3,cat,inference,0.488,0.812,0.746,0.703,0.692,,0.692
WAYPOINT3,cat,metacognitive,0.675,0.825,0.792,0.781,0.769,,0.769
WAYPOINT3,lying,inference,0.588,0.612,0.554,0.844,0.621,,0.621
WAYPOINT3,lying,metacognitive,0.662,0.9,0.783,0.953,0.808,,0.808
WAYPOINT3,stealing,inference,0.375,0.672,0.673,0.656,0.596,,0.596
WAYPOINT3,stealing,metacognitive,0.562,0.859,0.789,0.766,0.746,,0.746
