level,story,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,0.256,0.494,0.448,0.375,0.401,,0.401
WAYPOINT0,lying,0.419,0.431,0.329,0.609,0.419,,0.419
WAYPOINT0,stealing,0.275,0.25,0.267,0.461,0.294,,0.294
WAYPOINT1,cat,0.556,0.469,0.571,0.555,0.539,,0.539
WAYPOINT1,lying,0.569,0.488,0.44,0.609,0.509,,0.509
WAYPOINT1,stealing,0.462,0.57,0.563,0.586,0.543,,0.543
WAYPOINT2,cat,0.375,0.662,0.588,0.672,0.566,,0.566
WAYPOINT2,lying,0.438,0.675,0.467,0.844,0.568,,0.568
WAYPOINT2,stealing,0.156,0.641,0.588,0.602,0.495,,0.495
WAYPOINT3,cat,0.581,0.819,0.769,0.742,0.73,,0.73
WAYPOINT3,lying,0.625,0.756,0.669,0.898,0.714,,0.714
WAYPOINT3,stealing,0.469,0.766,0.731,0.711,0.671,,0.671
