level,story,question,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,q1,0.025,0.025,0.012,0.125,0.036,0.463,0.292
WAYPOINT0,cat,q2,0.05,0.0,0.008,0.094,0.029,0.455,0.285
WAYPOINT0,cat,q3,0.075,0.025,0.012,0.062,0.039,0.458,0.29
WAYPOINT0,cat,q4,0.1,0.1,0.071,0.156,0.098,0.481,0.328
WAYPOINT0,lying,q1,0.05,0.0,0.004,0.0,0.014,0.452,0.277
WAYPOINT0,lying,q2,0.05,0.0,0.012,0.0,0.017,0.47,0.289
WAYPOINT0,lying,q3,0.1,0.05,0.021,0.094,0.059,0.432,0.283
WAYPOINT0,lying,q4,0.225,0.025,0.05,0.125,0.099,0.459,0.315
WAYPOINT0,stealing,q1,0.175,0.0,0.021,0.094,0.065,0.473,0.31
WAYPOINT0,stealing,q2,0.05,0.0,0.008,0.25,0.053,0.47,0.303
WAYPOINT0,stealing,q3,0.225,0.0,0.025,0.062,0.074,0.432,0.289
WAYPOINT0,stealing,q4,0.2,0.0,0.038,0.062,0.073,0.469,0.31
WAYPOINT1,cat,q1,0.325,0.275,0.238,0.562,0.317,0.514,0.436
WAYPOINT1,cat,q2,0.25,0.15,0.104,0.625,0.23,0.51,0.398
WAYPOINT1,cat,q3,0.425,0.025,0.029,0.406,0.184,0.514,0.382
WAYPOINT1,cat,q4,0.35,0.1,0.138,0.062,0.17,0.534,0.389
WAYPOINT1,lying,q1,0.425,0.1,0.071,0.312,0.203,0.527,0.398
WAYPOINT1,lying,q2,0.425,0.15,0.142,0.25,0.231,0.537,0.415
WAYPOINT1,lying,q3,0.3,0.15,0.062,0.312,0.181,0.502,0.374
WAYPOINT1,lying,q4,0.375,0.025,0.158,0.188,0.184,0.523,0.387
WAYPOINT1,stealing,q1,0.45,0.0,0.129,0.219,0.191,0.531,0.395
WAYPOINT1,stealing,q2,0.35,0.0,0.033,0.0,0.099,0.546,0.367
WAYPOINT1,stealing,q3,0.225,0.156,0.042,0.25,0.147,0.509,0.364
WAYPOINT1,stealing,q4,0.5,0.125,0.202,0.25,0.264,0.514,0.414
WAYPOINT2,cat,q1,0.15,0.125,0.067,0.219,0.125,0.506,0.354
WAYPOINT2,cat,q2,0.125,0.1,0.054,0.156,0.099,0.508,0.344
WAYPOINT2,cat,q3,0.025,0.275,0.05,0.406,0.153,0.526,0.377
WAYPOINT2,cat,q4,0.175,0.25,0.108,0.281,0.186,0.529,0.392
WAYPOINT2,lying,q1,0.05,0.25,0.079,0.344,0.154,0.513,0.37
WAYPOINT2,lying,q2,0.0,0.15,0.025,0.312,0.093,0.557,0.372
WAYPOINT2,lying,q3,0.1,0.25,0.062,0.219,0.142,0.526,0.372
WAYPOINT2,lying,q4,0.075,0.25,0.088,0.25,0.149,0.526,0.375
WAYPOINT2,stealing,q1,0.05,0.125,0.058,0.312,0.111,0.51,0.35
WAYPOINT2,stealing,q2,0.05,0.312,0.116,0.469,0.201,0.547,0.409
WAYPOINT2,stealing,q3,0.0,0.281,0.021,0.156,0.101,0.519,0.352
WAYPOINT2,stealing,q4,0.0,0.281,0.089,0.25,0.139,0.551,0.386
WAYPOINT3,cat,q1,0.325,0.275,0.212,0.5,0.299,0.535,0.441
WAYPOINT3,cat,q2,0.425,0.35,0.262,0.219,0.318,0.534,0.448
WAYPOINT3,cat,q3,0.075,0.35,0.096,0.375,0.196,0.538,0.401
WAYPOINT3,cat,q4,0.5,0.425,0.346,0.375,0.409,0.558,0.498
WAYPOINT3,lying,q1,0.45,0.275,0.117,0.438,0.288,0.545,0.442
WAYPOINT3,lying,q2,0.5,0.4,0.242,0.5,0.385,0.567,0.494
WAYPOINT3,lying,q3,0.175,0.4,0.158,0.344,0.251,0.547,0.428
WAYPOINT3,lying,q4,0.425,0.5,0.287,0.594,0.421,0.569,0.51
WAYPOINT3,stealing,q1,0.525,0.375,0.317,0.375,0.392,0.549,0.486
WAYPOINT3,stealing,q2,0.3,0.438,0.072,0.375,0.266,0.566,0.446
WAYPOINT3,stealing,q3,0.025,0.375,0.047,0.375,0.173,0.527,0.385
WAYPOINT3,stealing,q4,0.375,0.5,0.301,0.438,0.39,0.558,0.491
