level,story,question_type,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,inference,0.05,0.025,0.008,0.031,0.026,0.431,0.269
WAYPOINT0,cat,metacognitive,0.05,0.025,0.0,0.031,0.023,0.435,0.271
WAYPOINT0,lying,inference,0.05,0.0,0.0,0.062,0.022,0.417,0.259
WAYPOINT0,lying,metacognitive,0.025,0.0,0.0,0.031,0.011,0.45,0.275
WAYPOINT0,stealing,inference,0.075,0.0,0.004,0.031,0.025,0.427,0.266
WAYPOINT0,stealing,metacognitive,0.1,0.0,0.004,0.094,0.041,0.43,0.274
WAYPOINT1,cat,inference,0.275,0.05,0.054,0.406,0.161,0.505,0.367
WAYPOINT1,cat,metacognitive,0.325,0.1,0.129,0.469,0.222,0.511,0.395
WAYPOINT1,lying,inference,0.25,0.025,0.054,0.062,0.097,0.503,0.341
WAYPOINT1,lying,metacognitive,0.425,0.1,0.108,0.156,0.193,0.532,0.396
WAYPOINT1,stealing,inference,0.325,0.062,0.075,0.188,0.151,0.514,0.369
WAYPOINT1,stealing,metacognitive,0.425,0.0,0.063,0.125,0.147,0.526,0.374
WAYPOINT2,cat,inference,0.125,0.15,0.038,0.406,0.143,0.517,0.367
WAYPOINT2,cat,metacognitive,0.05,0.225,0.021,0.125,0.095,0.521,0.35
WAYPOINT2,lying,inference,0.05,0.075,0.012,0.125,0.054,0.509,0.327
WAYPOINT2,lying,metacognitive,0.175,0.325,0.042,0.406,0.201,0.544,0.407
WAYPOINT2,stealing,inference,0.0,0.188,0.031,0.344,0.109,0.513,0.352
WAYPOINT2,stealing,metacognitive,0.0,0.312,0.078,0.281,0.148,0.546,0.387
WAYPOINT3,cat,inference,0.05,0.275,0.05,0.406,0.16,0.534,0.384
WAYPOINT3,cat,metacognitive,0.475,0.3,0.221,0.438,0.337,0.551,0.465
WAYPOINT3,lying,inference,0.225,0.3,0.121,0.344,0.225,0.548,0.419
WAYPOINT3,lying,metacognitive,0.425,0.375,0.208,0.562,0.357,0.572,0.486
WAYPOINT3,stealing,inference,0.25,0.219,0.12,0.312,0.206,0.536,0.404
WAYPOINT3,stealing,metacognitive,0.425,0.469,0.222,0.469,0.371,0.567,0.489
