level,story,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,0.05,0.025,0.004,0.031,0.025,0.433,0.27
WAYPOINT0,lying,0.038,0.0,0.0,0.047,0.016,0.434,0.267
WAYPOINT0,stealing,0.088,0.0,0.004,0.062,0.033,0.429,0.27
WAYPOINT1,cat,0.3,0.075,0.092,0.438,0.191,0.508,0.381
WAYPOINT1,lying,0.338,0.062,0.081,0.109,0.145,0.518,0.369
WAYPOINT1,stealing,0.375,0.031,0.069,0.156,0.149,0.52,0.371
WAYPOINT2,cat,0.088,0.188,0.029,0.266,0.119,0.519,0.359
WAYPOINT2,lying,0.112,0.2,0.027,0.266,0.127,0.526,0.367
WAYPOINT2,stealing,0.0,0.25,0.055,0.312,0.129,0.53,0.369
WAYPOINT3,cat,0.262,0.288,0.135,0.422,0.248,0.543,0.425
WAYPOINT3,lying,0.325,0.338,0.165,0.453,0.291,0.56,0.453
WAYPOINT3,stealing,0.338,0.344,0.171,0.391,0.289,0.552,0.446
